cnt,title,description,link,pDate
29,"가천대-지역사회-산업체, 시스템반도체 전문가 키운다","가천대(총장 <b>이길여</b>)와 성남시가 2일 대학 가천관 대강당에서 ‘성남시 반도체 설계(팹리스) 전문인력 양성 교육과정’ 입학식을 갖고 개강했다. 윤원중 가천대 부총장, 주광호 성남시 아시아실리콘밸리 담당관... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001985857,2022-05-02 18:30:00
30,"가천대, '성남시 반도체 설계(팹리스) 전문인력 양성과정' 입학식 개최","(사진=가천대 제공)  가천대학교(총장 <b>이길여</b>)와 성남시가 대학 가천관 대강당에서 '성남시 반도체 설계(팹리스) 전문인력 양성 교육과정' 입학식을 2일에 개최했다. 입학식에는 가천대 윤원중 부총장, 주광호 성남시... ",http://news.unn.net/news/articleView.html?idxno=527621,2022-05-02 17:02:00
31,"이영호 가천대 교수, 복지부장관 표창",이영호 교수  가천대학교(총장 <b>이길여</b>)는 디지털정보처장 이영호 컴퓨터공학과 교수가 보건의료 데이터 정책 추진으로 국민 건강증진에 기여한 공로를 인정받아 보건복지부 장관 표창을 받았다고 전했다. 이영호... ,http://news.unn.net/news/articleView.html?idxno=527596,2022-05-02 13:22:00
32,여의대상 길봉사상 캄보디아 헤브론병원 이영돈 원장 수상,"가천길재단 <b>이길여</b> 회장(제13대 여자의사회 회장 역임, 현 가천대학교총장)이 후원하여 제정됐다. 한편 한국여자의사회(회장 윤석완)는 30일 코리아나호텔에서 ‘제66차 정기 대의원총회’를 개최하고, 올해 사업계획과... ",http://www.whosaeng.com/sub_read.html?uid=135754&section=sc2,2022-05-02 08:06:00
33,"가천대 통합 10주년 기념행사 3, 4일 이틀간 개최",<b>이길여</b> 총장은 “대학 통합에 대한 높은 기대와 신뢰가 대학 경쟁력 상승과 글로벌 인재양성으로 이어지고 있다”며 “가천대의 미래 비전을 공유하는 자리를 갖게 돼 매우 뜻깊다”고 말했다.,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003425909,2022-05-02 03:02:00
34,<b>이길여</b> 가천대 총장 “10년內 글로벌 100대 대학으로 키우겠다”,"지난달 29일 경기 성남시에 있는 가천대 총장실에서 <b>이길여</b> 총장을 만났다. 이 총장은 “지난 10년간... 있다.” ● <b>이길여</b> 총장 서울대 의대를 졸업하고, 미국 퀸스종합병원(Queen‘s Hospital)에서 레지던트 수료, 니혼대... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003425910,2022-05-02 03:02:00
35,&quot;협력과 소통통해 여자의사들 역량 발휘 나선다&quot;,"가천길재단 <b>이길여</b> 회장(제13대 여자의사회 회장 역임, 현 가천대학교총장)이 후원하여 제정됐다. 1979년 서울의대를 졸업한 이영돈 원장은 외과 전문의로, 의대생 시절부터 주말과 방학을 이용한 의료봉사 활동을... ",http://www.bokuennews.com/news/article.html?no=216002,2022-05-01 22:48:00
36,31회 여의대상에 이영돈 헤브론병원장 수상,한국여자의사회는 의료봉사 또는 소외된 이웃을 위한 사회봉사 등으로 우리 사회를 밝고 건강하게 가꾸는데 헌신해온 공로자를 발굴하기 위해 가천길재단 <b>이길여</b> 회장의 후원으로 1991년 여의대상 길봉사상을 제정해... ,http://www.doctorsnews.co.kr/news/articleView.html?idxno=144342,2022-05-01 08:40:00
37,"한국여자의사회, 내부 역량 강화 주력 다짐","가천길재단 <b>이길여</b> 회장(제13대 여자의사회 회장 역임, 현 가천대학교총장)이 후원하여 제정됐다. 이영돈 원장 1979년 서울의대를 졸업한 이영돈 원장은 외과 전문의로, 의대생 시절부터 주말과 방학을 이용한 의료봉사... ",http://www.bosa.co.kr/news/articleView.html?idxno=2172727,2022-04-30 23:56:00
38,"코캄, 가천대학교와 산학업무협약 체결…발전기금 약정식 가져","배터리 전문 기업 코캄(대표 정세웅)이 가천대학교(총장 <b>이길여</b>)와 대학 내 연구소 설치, 연구 및 인재... 가천대 <b>이길여</b> 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리... ",http://www.it-b.co.kr/news/articleView.html?idxno=59170,2022-04-28 16:34:00
39,"코캄, 가천대학교와 연구소 설치 및 인재 양성위한 산학협력 체결",가천대학교 <b>이길여</b> 총장을 비롯한 주요 관계자들이 참석한 가운데 성황리에 마무리됐다.이번 산학협력을... 가천대 <b>이길여</b> 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리... ,https://www.ekn.kr/web/view.php?key=20220428001627131,2022-04-28 16:30:00
40,"코캄·가천대학교, 산학협력 MOU 체결 및 발전기금 약정식 진행","가운데 <b>이길여</b> 가천대 총장, 가운데 왼쪽 정세웅 코캄 대표이사, 가운데 오른쪽 로넨페이어 코캄 대표이사. 사진=코캄 [세계비즈=황지혜 기자] 배터리 전문 기업 코캄(대표이사 정세웅)이 가천대학교(총장 <b>이길여</b>)와... ",http://www.segyebiz.com/newsView/20220428514646?OutUrl=naver,2022-04-28 16:10:00
41,"가천대, 통합 10주년 기념 시민초청 오페라 '마술피리' 공연",가천대 전경(사진=가천대 제공)  가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 다음달 3일부터 4일까지 시민초청 오페라 공연 '마술피리'를 대학 예음홀 무대에 올린다. 가천대는 2012년 통합 당시 열었던 기념 오페라... ,http://news.unn.net/news/articleView.html?idxno=527352,2022-04-28 08:36:00
42,'작은 바람개비가 세상을 바꾼다'...가천대 통합 10주년 비전 선포,"이어 <b>이길여</b> 총장과 내외 귀빈들이 참석한 가운데 통합 10주년 경과보고 및 비전선포식을 거행하며 참석자들과 함께 캠퍼스 투어 행사도 마련했다. 또 비전타워 프리덤광장에서는 나눔바자회, 다문화 축제, 대학혁신... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0011150647,2022-04-28 06:30:00
43,"배터리 전문기업 코캄, 가천대와 산학협력 MOU",<b>이길여</b> 가천대 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리 분야 세계적 기업인 코캄의 부설 연구소를 통해 신설 예정인 배터리공학과가 경쟁력을 더할 것&quot;이라고 말했다.... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=421&aid=0006056263,2022-04-27 13:30:00
44,"가천대학교, 배터리 전문기업 코캄(KOKAM)과 산학협력 MOU 체결",가천대학교(총장 <b>이길여</b>)는 지난 26일 대학 가천관에서 배터리 전문기업 코캄(대표 정세웅)과 산학협력... <b>이길여</b> 가천대 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리... ,http://www.sentv.co.kr/news/view/618145,2022-04-27 13:12:00
45,"배터리 전문업체 코캄(KOKAM)-가천대학교, 산학협력 MOU 맺어","배터리 전문 기업 코캄(대표이사 정세웅)이 가천대학교(총장 <b>이길여</b>)와 산학협력 업무협약을 맺고, 지난... 가천대 <b>이길여</b> 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004047248,2022-04-27 12:58:00
46,"가천대, 배터리 전문업체 코캄과 MOU 체결","왼쪽부터 정세웅 코캄 대표이사, <b>이길여</b> 총장, 로넨페이어 코캄 대표이사(사진=가천대 제공)  가천대학교(총장 <b>이길여</b>)는 솔라에지 테크놀로지스(SolarEdge Technologies)의 자회사인 배터리 전문기업 코캄(kokam... ",http://news.unn.net/news/articleView.html?idxno=527345,2022-04-27 10:36:00
